airline,flight_number,departure_airport,arrival_airport,departure_iata,arrival_iata,departure_time,arrival_time,status
Hainan Airlines,7082,Beijing Capital International,Haikou,PEK,HAK,2025-07-30 19:00:00+00:00,2025-07-30 22:45:00+00:00,scheduled
Air China LTD,1379,Beijing Capital International,Guangzhou Baiyun International,PEK,CAN,2025-07-30 19:00:00+00:00,2025-07-30 22:20:00+00:00,scheduled
Hainan Airlines,7567,Beijing Capital International,Chongqing Jiangbei International,PEK,CKG,2025-07-30 18:55:00+00:00,2025-07-30 21:40:00+00:00,scheduled
Air China LTD,709,Beijing Capital International,Seoul (Incheon),PEK,ICN,2025-07-30 18:50:00+00:00,2025-07-30 21:45:00+00:00,scheduled
Air China LTD,1907,Beijing Capital International,Zhuhai Airport,PEK,ZUH,2025-07-30 18:45:00+00:00,2025-07-30 22:00:00+00:00,scheduled
Air China LTD,1449,Beijing Capital International,Chongqing Jiangbei International,PEK,CKG,2025-07-30 18:45:00+00:00,2025-07-30 22:00:00+00:00,scheduled
Sichuan Airlines,8832,Beijing Capital International,Chongqing Jiangbei International,PEK,CKG,2025-07-30 18:45:00+00:00,2025-07-30 21:30:00+00:00,scheduled
Cathay Pacific,393,Beijing Capital International,Hong Kong International,PEK,HKG,2025-07-30 18:40:00+00:00,2025-07-30 22:25:00+00:00,scheduled
China Eastern Airlines,5162,Beijing Capital International,Shanghai Hongqiao International,PEK,SHA,2025-07-30 18:30:00+00:00,2025-07-30 20:40:00+00:00,cancelled
Korean Air,860,Beijing Capital International,Seoul (Incheon),PEK,ICN,2025-07-30 18:30:00+00:00,2025-07-30 21:40:00+00:00,scheduled
Air China LTD,4104,Beijing Capital International,Shuangliu,PEK,CTU,2025-07-30 18:30:00+00:00,2025-07-30 21:30:00+00:00,scheduled
Air China LTD,1953,Beijing Capital International,Dayong,PEK,DYG,2025-07-30 18:30:00+00:00,2025-07-30 21:00:00+00:00,scheduled
Air China LTD,1859,Beijing Capital International,Fuzhou,PEK,FOC,2025-07-30 18:30:00+00:00,2025-07-30 21:15:00+00:00,scheduled
Air China LTD,1726,Beijing Capital International,Hangzhou,PEK,HGH,2025-07-30 18:30:00+00:00,2025-07-30 20:45:00+00:00,scheduled
Air China LTD,1635,Beijing Capital International,Shenyang,PEK,SHE,2025-07-30 18:30:00+00:00,2025-07-30 20:05:00+00:00,scheduled
Air China LTD,1581,Beijing Capital International,Nanchang,PEK,KHN,2025-07-30 18:30:00+00:00,2025-07-30 20:50:00+00:00,scheduled
Air China LTD,1571,Beijing Capital International,Qingdao,PEK,TAO,2025-07-30 18:30:00+00:00,2025-07-30 20:05:00+00:00,scheduled
Air China LTD,1443,Beijing Capital International,Guiyang,PEK,KWE,2025-07-30 18:30:00+00:00,2025-07-30 21:35:00+00:00,scheduled
Air China LTD,1261,Beijing Capital International,Xining,PEK,XNN,2025-07-30 18:30:00+00:00,2025-07-30 20:50:00+00:00,scheduled
Air China LTD,1455,Beijing Capital International,Mian Yang,PEK,MIG,2025-07-30 18:20:00+00:00,2025-07-30 21:00:00+00:00,scheduled
Air China LTD,1263,Beijing Capital International,Yinchuan,PEK,INC,2025-07-30 18:15:00+00:00,2025-07-30 20:10:00+00:00,scheduled
ANA,282,Tokushima,Haneda Airport,TKS,HND,2025-07-30 10:55:00+00:00,2025-07-30 12:10:00+00:00,landed
SAS,1041,Kiruna,Arlanda,KRN,ARN,2025-07-30 10:45:00+00:00,2025-07-30 12:20:00+00:00,scheduled
KLM,8635,Kiruna,Arlanda,KRN,ARN,2025-07-30 10:45:00+00:00,2025-07-30 12:20:00+00:00,scheduled
China Eastern Airlines,6701,Taiyuan,Hangzhou,TYN,HGH,2025-07-30 20:00:00+00:00,2025-07-30 21:55:00+00:00,cancelled
Etihad Airways,3992,Kiruna,Arlanda,KRN,ARN,2025-07-30 10:45:00+00:00,2025-07-30 12:20:00+00:00,scheduled
Xiamen Airlines,8156,Taiyuan,Fuzhou,TYN,FOC,2025-07-30 20:00:00+00:00,2025-07-30 22:30:00+00:00,scheduled
China Southern Airlines,3696,Taiyuan,Guangzhou Baiyun International,TYN,CAN,2025-07-30 19:55:00+00:00,2025-07-30 22:45:00+00:00,scheduled
China Eastern Airlines,6995,Taiyuan,Chongqing Jiangbei International,TYN,CKG,2025-07-30 19:55:00+00:00,2025-07-30 22:05:00+00:00,scheduled
Ruili Airlines,6556,Taiyuan,Kunming,TYN,KMG,2025-07-30 19:55:00+00:00,2025-07-30 22:45:00+00:00,scheduled
China Eastern Airlines,6396,Taiyuan,Chengdu Tianfu International Airport,TYN,TFU,2025-07-30 19:45:00+00:00,2025-07-30 21:50:00+00:00,scheduled
Shandong Airlines,2268,Taiyuan,Chongqing Jiangbei International,TYN,CKG,2025-07-30 19:35:00+00:00,2025-07-30 21:35:00+00:00,scheduled
Xiamen Airlines,8174,Taiyuan,Hangzhou,TYN,HGH,2025-07-30 19:35:00+00:00,2025-07-30 22:00:00+00:00,scheduled
Air China LTD,8358,Taiyuan,Wenzhou,TYN,WNZ,2025-07-30 19:30:00+00:00,2025-07-30 22:15:00+00:00,scheduled
Sichuan Airlines,3244,Taiyuan,Fenghuang International (Phoenix International),TYN,SYX,2025-07-30 19:15:00+00:00,2025-07-30 22:40:00+00:00,scheduled
China Eastern Airlines,9879,Taiyuan,Guangzhou Baiyun International,TYN,CAN,2025-07-30 19:10:00+00:00,2025-07-30 22:00:00+00:00,scheduled
Shandong Airlines,4924,Taiyuan,Qingdao,TYN,TAO,2025-07-30 19:05:00+00:00,2025-07-30 20:55:00+00:00,scheduled
China Eastern Airlines,2410,Taiyuan,Shanghai Hongqiao International,TYN,SHA,2025-07-30 19:00:00+00:00,2025-07-30 21:15:00+00:00,cancelled
Shenzhen Airlines,8742,Taiyuan,Shanghai,TYN,HFE,2025-07-30 19:00:00+00:00,2025-07-30 20:35:00+00:00,scheduled
Shandong Airlines,9762,Taiyuan,Shanghai,TYN,HFE,2025-07-30 19:00:00+00:00,2025-07-30 20:35:00+00:00,scheduled
Kunming Airlines,3188,Taiyuan,Kunming,TYN,KMG,2025-07-30 19:00:00+00:00,2025-07-30 21:40:00+00:00,scheduled
Shenzhen Airlines,3188,Taiyuan,Kunming,TYN,KMG,2025-07-30 19:00:00+00:00,2025-07-30 21:40:00+00:00,scheduled
Tibet Airlines,8188,Taiyuan,Kunming,TYN,KMG,2025-07-30 19:00:00+00:00,2025-07-30 21:40:00+00:00,scheduled
Air China LTD,5848,Taiyuan,Kunming,TYN,KMG,2025-07-30 19:00:00+00:00,2025-07-30 21:40:00+00:00,scheduled
China Eastern Airlines,5669,Taiyuan,Qingdao,TYN,TAO,2025-07-30 18:55:00+00:00,2025-07-30 21:05:00+00:00,scheduled
Xiamen Airlines,3911,Taiyuan,Qingdao,TYN,TAO,2025-07-30 18:55:00+00:00,2025-07-30 21:05:00+00:00,scheduled
